name,type,company,description,amount,notes,notes2,notes3,notes4
Nuihau Laurey,executive,Tahiti Nui aménagement et développement,Membre du conseil d'administration,,,,,
Nuihau Laurey,executive,Tahiti nui Rava'ai,Représentant de la Polynésie française pour sieger au conseil d'aministration,,,,,
Odette Herviaux,executive,Agence des Aires marines protégées,Membre du conseil d'administration au titre du Sénat,NÉANT,,0,,
Odette Herviaux,executive,Conseil National de la mer et des littoraux,Membre du conseil d'administration au titre du Sénat,NÉANT,,0,,
Odette Herviaux,executive,Conseil Supérieur des gens de mer,Membre du conseil d'administration au titre du Sénat,NÉANT,,0,,
Odile Saugues,executive,SA coopérative d'HLM de production CLERDÔME filiale de l'OPHIS,Membre du conseil d'administration,"68,61 EUR par an","Frais perçus sur 5 ans : 343,05 EUR","68,61",,
Olivier Audibert Troin,executive,SAIEM de construction de Draguignan,Membre du conseil d'administration,NÉANT,,0,,
Olivier Audibert Troin,executive,Centre hospitalier Draguignan,Vice-président,NÉANT,,0,,
Olivier Cadic,executive,,,,,,,
Olivier Cadic,executive,Cabinet libéral,Médecin chef,,,,,
Olivier Cadic,executive,Union des Français de l'étranger en Grande Bretagne (UFE GB),Président de la section britanique depuis 11/2005,Bénévole,,,,
Olivier Carré,executive,OPH Orléans,,NÉANT,,0,,
Olivier Carré,executive,SEMDO (Sem d'aménagement),,NÉANT,,0,,
Olivier Carré,executive,SEMPAT (Sem patrimoniale),,NÉANT,,0,,
Olivier Cigolotti,executive,NÉANT,,,,,,
Olivier Dassault,executive,DASSAULT AVIATION,Membre du Conseil d'Administration,jetons de présence,Non rémunéré sauf jetons de présence,0,,
Olivier Dassault,executive,DASSAULT MEDIAS,Membre du Conseil d'Administration,jetons de présence,Non rémunéré sauf jetons de présence,0,,
Olivier Dassault,executive,GROUPE INDUSTRIEL MARCEL DASSAULT,Président du Conseil de Surveillance,357567 EUR par an,"Brut ; SAS, sise à PARIS (75008)",357567,,
Olivier Dassault,executive,Groupe VALMONDE,Vice-Président,jetons de présence,Non rémunéré sauf jetons de présence,0,,
Olivier Dassault,executive,PARTICULIERS ET FINANCES EDITIONS,Président du Conseil de Surveillance,jetons de présence,Non rémunéré sauf jetons de présence,0,,
Olivier Dassault,executive,RASEC,Membre du Conseil d'Administration,jetons de présence,Non rémunéré sauf jetons de présence,0,,
Olivier Dassault,executive,ROND POINT IMMOBILIER,Président du Conseil de Surveillance,Dividendes,"SAS, sise à PARIS (75008)",,,
Olivier Dassault,executive,RUBIS,Membre du Conseil de Surveillance,Rémunéré,"SCA, sise à PARIS (75116)",,,
Olivier Dassault,executive,SOCIETE DU FIGARO,Membre du Conseil d'Administration,jetons de présence,Non rémunéré sauf jetons de présence,0,,
Olivier Dussopt,executive,Association des Petites Villes de France,Vice-Président,NÉANT,,0,,
Olivier Dussopt,executive,Centre hospitalier d'Annonay,Président du conseil de surveillance,NÉANT,,0,,
Olivier Falorni,executive,NÉANT,,,,,,
Olivier Faure,executive,NÉANT,,,,,,
Olivier Marleix,executive,SAHLM Eure-et-Loir Habitat,"Membre du Conseil d'Administration, représentant le Conseil général d'Eure-et-Loir",,,,,
Paola Zanetti,executive,,,,,,,
Pascal Allizard,executive,,,,,,,
Pascal Allizard,executive,,,,,,,
Pascal Allizard,executive,,,,,,,
Pascal Allizard,executive,,,,,,,
Pascal Allizard,executive,Calvados Stratégie,Président,NÉANT,,0,,
Pascal Allizard,executive,Lycée public Condé sur Noireau,Membre du Conseil d'Administration,NÉANT,,0,,
Pascal Allizard,executive,Maison de Retraite publique Condé sur Noireau,Membre du Conseil d'Administration,,,,,
Pascal Allizard,executive,Pays Sud Calvados,Co-président,NÉANT,,0,,
Pascal Allizard,executive,SDIS du Calvados,Adminstrateur,NÉANT,,0,,
Pascal Cherki,executive,,,,,,,
Pascal Deguilhem,executive,NÉANT,,,,,,
Pascal Demarthe,executive,,,,,,,
Pascal Demarthe,executive,Somme Tourisme (Comité Départemental du Tourisme),Président,NÉANT,,0,,
Pascal Demarthe,executive,Association des Logis de France de la Somme,Président,NÉANT,,0,,
Pascal Demarthe,executive,Fédération Internationale des Logis de France,Administrateur depuis le 23/06/2014,NÉANT,,0,,
Pascal Demarthe,executive,Relais Dépatemental des gîtes de France de la Somme,Président,NÉANT,,0,,
Pascal Popelin,executive,,,,,,,
Pascal Terrasse,executive,SMERGC (syndicat mixte Chauvet),Président,"7006,23 EUR par an",636.93 net depuis janvier 2013 (= 7006.23  EUR perçus),"7006,23",,
Pascal Terrasse,executive,Assemblée Parlementaire de la Francophonie,Secrétaire général,NÉANT,,0,,
Pascale Crozon,executive,Société d'économie mixte : SVU de Villeurbanne,Présidente,Indemnités selon présence,,,,
Pascale Crozon,executive,Société HLM Villeurbanne est habitat,Membre du bureau,NÉANT,,,,
Pascale Got,executive,NÉANT,,,,,,
Pascale Gruny,executive,NÉANT,,,,,,
Patrice Carvalho,executive,NÉANT,,,,,,
Patrice Martin-Lalande,executive,NÉANT,,,,,,
Patrice Prat,executive,SARL HORTUS CONSEIL,,NÉANT,,0,,
Patrice Prat,executive,SARL MUTATIO PRAXIS (Conseil aux entreprises et collectivités),,NÉANT,,0,,
Patrice Verchère,executive,Société d'Economie Mixte immobilière de la Ville de Cours (69470),Membre du Conseil d'Administration,NÉANT,Gestion de 150 logements sociaux sur la commune de Cours-la-Ville dont je suis maire,0,,
Patricia Adam,executive,NÉANT,,,,,,
Patricia Morhet-Richaud,executive,OPH 05 (Bailleur social),NÉANT,NÉANT,,0,,
Patricia Schillinger,executive,NÉANT,,,,,,
Patrick Abate,executive,Association des élus communistes et républicains de Moselle,Président,NÉANT,,0,,
Patrick Abate,executive,Aéroport Régional de Lamaure,Président,NÉANT,,0,,
Patrick Abate,executive,EPA Esah-Belval,Administrateur,NÉANT,,0,,
Patrick Abate,executive,Etablissement public foncier lorrain EPFL,Administrateur,NÉANT,,0,,
Patrick Abate,executive,SEM du Bassin Lorrain SEBL,Administrateur,NÉANT,,0,,
Patrick Balkany,executive,Caisse des Ecoles de Levallois,Président,NÉANT,"Etablissement public communal assurant la gestion matérielle (fonctionnement, hors personnel) des centres de loisirs, classes de découvertes, clubs ados/pré-ados et conseil communal des jeunes",0,,
Patrick Balkany,executive,Centre Communal d'Action Sociale de Levallois,Président,NÉANT,"Etablissement public communal assurant des missions de prévention, de soutien et de solidarité",0,,
Patrick Balkany,executive,Maison de Retraite 'Les Marronniers',Président du conseil d'administration,NÉANT,Maison de Retraite Médicalisée du secteur public hospitalier,0,,
Patrick Balkany,executive,Oeuvre du perpétuel Secours Institut Hospitalier Franco-Britannique de Levallois,Membre du Conseil d'Administration,NÉANT,Association gérant un établissement de santé privé à but non lucratif assurant des missions du service public de santé,0,,
Patrick Balkany,executive,SAEM 'Levallois-Habitat',Président du conseil d'administration,NÉANT,Logement social,0,,
Patrick Balkany,executive,Société d'Economie Mixte d'Aménagement de Rénovation et d'Equipement de Levallois-Perret (SEMARELP),Président du conseil d'administration,8680 EUR par an,"Voiture de fonction évaluée ) 8680 EUR par an ; SEM en charge de l'aménagement, la construction, la réalisation d'ouvrages et d'équipements publics et de la gestion immobilière du patrimoine de la Ville de Levallois, au travers de services de conseil, d'assistance, de maître d'ouvrage et d'aménageur. Missions principales : Réalisation de Zones d'aménagement Concerté - Réalisation d'équipements publics d'infrastructure et de superstructure en tant que concessionnaire de ZAC ou en tant que mandataire de collectivité ou d'établissements publics - Construction, réhabilitation et gestion de parkings.",8680,,
Patrick Bloche,executive,NÉANT,,,,,,
Patrick Chaize,executive,NÉANT,,,,,,
Patrick Devedjian,executive,De Facto (EPGD de la Défense),Président,NÉANT,Gestion de la dalle de La Défense,0,,
Patrick Hetzel,executive,ANR (Agence nationale de la recherche),Membre du Conseil d'Administration,NÉANT,,0,,
Patrick Hetzel,executive,CNOUS,Membre du Conseil d'Administration,NÉANT,,0,,
Patrick Hetzel,executive,CNRS,Membre du Conseil d'Administration,NÉANT,,0,,
Patrick Hetzel,executive,INRA,Membre du Conseil d'Administration,NÉANT,,0,,
Patrick Hetzel,executive,UniversSciences,Membre du Conseil d'Administration,NÉANT,,0,,
Patrick Labaune,executive,,,,,,,
Patrick Lebreton,executive,Syndicat Mixte de Pierrefonds,Président,,,,,
Patrick Lemasle,executive,NÉANT,,,,,,
Patrick Masclet,executive,EPF,Administrateur,NÉANT,,0,,
Patrick Masclet,executive,ERPD de Douai,Administrateur,NÉANT,,0,,
Patrick Masclet,executive,Institut d'Auchin,Administrateur,NÉANT,,0,,
Patrick Mennucci,executive,NÉANT,,,,,,
Patrick Ollier,executive,NÉANT,,,,,,
Patrick Vignal,executive,NÉANT,,,,,,
Paul Giacobbi,executive,Aires marines protégées (établissement public administratif),Président,NÉANT,,0,,
Paul Giacobbi,executive,La Corse en marche (association),Président,NÉANT,,0,,
Paul Molac,executive,,,,,,,
Paul Salen,executive,NÉANT,,,,,,
Paul Vergès,executive,,,,,,,
Philip Cordery,executive,NÉANT,,,,,,
Philippe Adnot,executive,SEM de la technopole de l'Aube - SEMTAC,Membre du Conseil d'Administration,NÉANT,,0,,
Philippe Armand Martin,executive,NÉANT,,,,,,
Philippe Bas,executive,,,,,,,
Philippe Bas,executive,,,,,,,
Philippe Bas,executive,,,,,,,
Philippe Baumel,executive,Agence Urbaine de Bourgogne du Sud,Président,NÉANT,,0,,
Philippe Bies,executive,13F (SA HLM),Membre du Conseil d'Administration,NÉANT,,0,,
Philippe Bies,executive,CUS Habitat (OPH),Président du conseil d'administration,NÉANT,,0,,
Philippe Bies,executive,Habitat de l'Ill (Coop HLM),Membre du conseil de surveillance,NÉANT,,0,,
Philippe Bies,executive,Habitation Moderne (SEM),Président du conseil d'administration,29724 EUR par an,2477 EUR net par mois jusqu'en juin 2012,29724,,
Philippe Bies,executive,SERS (SEM),Membre du Conseil d'Administration,NÉANT,,0,,
Philippe Bies,executive,SOCOLOPO (Coop HLM),Président du conseil de surveillance,NÉANT,,0,,
Philippe Bonnecarrère,executive,,,,,,,
Philippe Bonnecarrère,executive,Hôpital d'Albi,Président du conseil de surveillance,NÉANT,,0,,
Philippe Bonnecarrère,executive,Associations des amis de la Cathédrale Ste Cécile à Albi,Président,NÉANT,,0,,
Philippe Bonnecarrère,executive,SCI de l'immeuble dans lequel est exercé l'activité de la société d'avocat dont je suis membre,Co-gérant,NÉANT,fonction de gérante gratuite,0,,
Philippe Bonnecarrère,executive,SCP d'avocat BONNECARRERE GIL SERVIERES,Co-gérant,NÉANT,,0,,
Philippe Briand,executive,NÉANT,,,,,,
Philippe Cochet,executive,NÉANT,,,,,,
Philippe Dallier,executive,NÉANT,,,,,,
Philippe Dominati,executive,NÉANT,,,,,,
Philippe Doucet,executive,NÉANT,,,,,,
Philippe Duron,executive,Agence de financement des Infrastructures Terrestres de France,Président depuis septembre 2014,"2014 : 6397,28 EUR","6397,28 euros pour deux mois - 2005-2012 : Administrateur","6397,28",,
Philippe Esnol,executive,NÉANT,,,,,,
Philippe Folliot,executive,NÉANT,,,,,,
Philippe Gomes,executive,,,,,,,
Philippe Gomes,executive,,,,,,,
Philippe Gosselin,executive,Caisse d'allocations familiales de la Manche,Membre du conseil d'administration au titre de personne qualifiée,,,,,
Philippe Gosselin,executive,Manche Habitat (office HLM de la Manche),Membre du conseil d'administration,,,,,
Philippe Gosselin,executive,SA HLM Coutances Granville,Membre du conseil d'administration,,,,,
Philippe Goujon,executive,NÉANT,,,,,,
Philippe Houillon,executive,,,,,,,
Philippe Houillon,executive,SCP d'avocats PETIT MARCOT HOUILLON et Associés,Cogérant,NÉANT,Rémunération distincte des revenus professionnels déclarés aux 1° et 2°),0,,
Philippe Kaltenbach,executive,SYLOM,Conseiller syndical,,,,,
Philippe Kaltenbach,executive,OPH Clamart Habitat,Président,,,,,
Philippe Kemel,executive,NÉANT,,,,,,
Philippe Le Ray,executive,,,,,,,
Philippe Leroy,executive,Syndicat Moselle numérique pour la communication audiovisuelle,Membre du Conseil d'Administration,,,,,
Philippe Leroy,executive,EPA d'Alzette Belval (Opération d'Intéret National OIN),Membre du Conseil d'Administration,,- développement et amménagement d'une zone frontalière avec le Luxembourg,,,
Philippe Leroy,executive,SEM 'Espace Moselle Numérique,Membre du Conseil d'Administration au titre du Conseil Général de la Moselle,,- gestion d'un espace de formation de la Moselle à Bruxelles,,,
Philippe Leroy,executive,SEM 'Mirabelle Télé' (télévision locale portée par les collectivités),Administrateur,,,,,
Philippe Madrelle,executive,NÉANT,,,,,,
Philippe Martin,executive,,,,,,,
Philippe Meunier,executive,NÉANT,,,,,,
Philippe Mouiller,executive,,,,,0,,
Philippe Mouiller,executive,,,,,,,
Philippe Mouiller,executive,,,,,,,
Philippe Mouiller,executive,CCAS de Moncoutant,Président,NÉANT,,0,,
Philippe Mouiller,executive,Association Chrétien Elu Public,Administrateur,NÉANT,,0,,
Philippe Mouiller,executive,"EPHAD Les Bleuets, Moncoutant",Président,NÉANT,,0,,
Philippe Mouiller,executive,"EPHAD Les Magnolias, Moncoutant",Président,NÉANT,,0,,
Philippe Nachbar,executive,NÉANT,,,,,,
Philippe Nauche,executive,Centre Hospitalier de Brive,President du conseil de surveillance,,,,,
Philippe Nauche,executive,Etablissement Public de Coopération culturelle 'les 13 arches',Président,NÉANT,,0,,
Philippe Nauche,executive,Office de Tourisme. SPL.,Président,NÉANT,,0,,
Philippe Nauche,executive,OPH pays de Brive,HLM. Président,NÉANT,,0,,
Philippe Nauche,executive,Territoire 19 SEM et SPL,Membre du Conseil d'Administration,NÉANT,,0,,
Philippe Noguès,executive,NÉANT,,,,,,
Philippe Paul,executive,NÉANT,,,,,,
Philippe Plisson,executive,NÉANT,,,,,,
Philippe Vigier,executive,SEL La Madeleine (biologie médicale),Cogérant,2008 : 128 456 EUR,,,,
Philippe Vigier,executive,SEL La Madeleine (biologie médicale),Cogérant,2009 : 127 241 EUR,,,,
Philippe Vigier,executive,SEL La Madeleine (biologie médicale),Cogérant,2010 : 58 957 EUR,,,,
Philippe Vigier,executive,SEL La Madeleine (biologie médicale),Cogérant,2011 : 73 742 EUR,,,,
Philippe Vigier,executive,SEL La Madeleine (biologie médicale),Cogérant,2012 : 73 672 EUR,,,,
Philippe Vigier,executive,EURL,Gérant,NÉANT,,0,,
Philippe Vigier,executive,SEL La Madeleine (biologie médicale),Cogérant,2013 : 55360 EUR,Biologie médicale,55360,,
Philippe Vitel,executive,Société du Canal de Provence,Membre du Conseil d'Administration représentant le Conseil général du Var,"205,80 à 274,40 EUR par an","68.60 euros la journée pour conseil d'administration et AG (3 à 4/an) = 205,8 à 274,40 EUR par an = moyenne de 240 EUR par an",240,,
Pierre Aylagas,executive,NÉANT,,,,,,
Pierre Camani,executive,47 Fédération des pôles de santé,Membre du conseil d'administration en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Aérospace Valley,Membre,NÉANT,,0,,
Pierre Camani,executive,Agri Sud Ouest Innovation,Membre,NÉANT,,0,,
Pierre Camani,executive,Agropole Entreprise,Membre du conseil d'administration,NÉANT,,0,,
Pierre Camani,executive,Agropole Service,Membre suppléant du conseil d'administration,NÉANT,,0,,
Pierre Camani,executive,Assemblée des Départements de France,Membre titulaire,NÉANT,,0,,
Pierre Camani,executive,Association des amis du machinisme agricole,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Association foncière de remembrement de Lévignac de Guyenne,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Association foncière de remembrement de St Pierre sur Dropt,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,"Association Mixte de la Vallée du Dropt, Vallée des Bastides",Membre du conseil d'administration,NÉANT,,0,,
Pierre Camani,executive,COCNA 2015 (comité d'organisation du congrès national des sapeurs pompiers à AGEN),Membre d'honneur en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Comité de sélection des appels à projets pour les établissements et services relevant de l'autorisation du PCG et du directeur de l'ARS,Président de droit en tant que président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Comité Départemental des retraités et des personnes âgées (CODERPA),Président de droit en tant que Président du conseil général,NÉANT,,0,,
Pierre Camani,executive,Comité départemental du Tourisme,Membre du conseil d'administration de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Commission Exécutive de la MDPH,Président de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Conférence régionale de la santé et de l'autonomie,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Conseil départemental consultatif des personnes handicapées (CDCPH),Présidence conjointe du Président du Conseil Général et du Préfet,NÉANT,,0,,
Pierre Camani,executive,Entente interdépartementale du Bassin du Lot,Président de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Espace Productions 47 (bureau d'accueil de tournage),Membre du Conseil d'Administration (de droit en tant que Président du Conseil Général),NÉANT,,0,,
Pierre Camani,executive,GIP Enfance en danger,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Institution Interdépartementale Pole Sud Ouest,Membre de droit en tant que président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Observatoire Régional de la Santé en Aquitaine,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,SDIS 47,Membre de droit du conseil d'administration en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Camani,executive,Syndicat Mixte de développement Economique du Marmandais,Membre du comité syndical,NÉANT,,0,,
Pierre Camani,executive,Syndicat Mixte de la Vallée du Lot,Membre du Comité Syndical,NÉANT,,0,,
Pierre Camani,executive,Syndicat Mixte du Pays de l'Agenais,Membre titulaire du comité syndical,NÉANT,,0,,
Pierre Camani,executive,Syndicat Mixte Ouvert Lot et Garonne Numérique,Membre du Conseil d'Administration,NÉANT,,0,,
Pierre Camani,executive,Syndicat Mixte pour l'aménagement du Pays d'Albret Porte de Gascogne,Membre de droit en tant que Président du Conseil Général,NÉANT,,0,,
Pierre Charon,executive,NÉANT,,,,,,
Pierre Frogier,executive,SEM de TINA (golf),Président,,,,,
Pierre Laurent,executive,NÉANT,,,,,,
Pierre Lellouche,executive,NÉANT,,,,,,
Pierre Lequiller,executive,NÉANT,,,,,,
Pierre Médevielle,executive,NÉANT,,,,,,
Pierre Morange,executive,NÉANT,,,,,,
Pierre Morel-A-L'Huissier,executive,CDT 48,Membre du Conseil d'Administration,NÉANT,,0,,
Pierre Morel-A-L'Huissier,executive,SELO (SEM),Membre du Conseil d'Administration,NÉANT,Bd Bourrillon 48000 MENDE,0,,
Pierre Ribeaud,executive,Publication à venir,,,,0,,
Pierre-Alain Muet,executive,NÉANT,,,,,,
Pierre-Yves Collombat,executive,NÉANT,,,,,,
Pierre-Yves Le Borgn',executive,NÉANT,,,,,,
Pouria Amirshahi,executive,NÉANT,,,,,,
Rachel Mazuir,executive,SDIS,Président du Conseil d'Administration,NÉANT,,0,,
Raymond Vall,executive,Publication à venir,,,,0,,
Razzy Hammadi,executive,,,,,,,
Régine Povéda,executive,NÉANT,,,,,,
Régis Juanico,executive,ANACT (Agence Nationale d'Améliorations des Conditions de Travail),Membre du conseil d'administration au titre de l'Assemblée nationale,NÉANT,,0,,
Régis Juanico,executive,EPORA (Etablissement Public foncier de l'Ouest Rhône Alpes),Membre du conseil d'administration au titre du CG Loire,76 EUR net par conseil d'administration,76  EUR net / CA,,,
Régis Juanico,executive,SEDL (Société d'équipement et de Développement Loire),Membre du conseil d'administration au titre du CG Loire,NÉANT,,0,,
Rémi Delatte,executive,FEDOSAD,,NÉANT,Aides à domicile et établissements médico-sociaux,0,,
Rémi Pauvros,executive,NÉANT,,,,,,
Rémy Pointereau,executive,Association des maires du Cher,Président,0 EUR,,0,,
Rémy Pointereau,executive,CHER AVENIR,Président,0 EUR,,0,,
Rémy Pointereau,executive,TGV GRAND CENTRE,Président,"25089,72 EUR par an","2090,81€ (net par mois) (indemnité mensuelle)","25089,72",,
René Danesi,executive,Société Mulhousienne des Cités Ouvrières (SOACO),Administrateur,NÉANT,,0,,
René Dosière,executive,,,,,,,
René Rouquet,executive,NÉANT,,,,,,
René Vandierendonck,executive,Groupement d'intérêt public en charge du renouvellement urbain de LMCU (Lille métropole communauté urbaine),Président,NÉANT,,0,,
René-Paul Savary,executive,NÉANT,,,,,,
Richard Ferrand,executive,NÉANT,,,,,,
Richard Yung,executive,NÉANT,,,,,,
Robert del Picchia,executive,NÉANT,,,,,,
Robert Hue,executive,Fondation Gabriel Péri,Président,NÉANT,,0,,
Robert Laufoaulu,executive,NÉANT,,,,,,
Robert Navarro,executive,NÉANT,,,,,,
Robert Olive,executive,NÉANT,,,,,,
Roger Karoutchi,executive,Agence régionale de Développement (ARD),Membre du conseil de surveillance représentant le conseil Régional,NÉANT,,0,,
Roger Madec,executive,Société d'économie mixte d'aménagement de la vallée de paris (SEMAVIP),Président du conseil d'adminitration,NÉANT,NÉANT,0,,
Roger Madec,executive,S.A. HLM AXIMO,Membre du conseil d'administration,NÉANT,depuis le 18/12/2014,0,,
Roger-Gérard Schwartzenberg,executive,NÉANT,,,,,,
Roland Courteau,executive,,,,,,,
Roland Courteau,executive,Association Nationale des Elus de la Vigne et du vin (ANEV),Président,NÉANT,Défense de la viticulture. Remarque ! J'ai déjà mentionné en septembre 2013,0,,
Roland Courteau,executive,Conseil Nationale de l'Information Géographique,Président,NÉANT,Instance de concertation et de réflexion sur l'information géographique placée auprès du ministre de l'energie,0,,
Roland Courteau,executive,Conseil Supérieur de l'Energie (CSE),Président,NÉANT,Donne son avis au ministre de l'énergie sur les projets de décrets et les arrêtés relatifs à l'énergie,0,,
Roland Courteau,executive,,,,,,,
Romain Colas,executive,,,,,,,
Romain Colas,executive,,,,,,,
Romain Colas,executive,Bailleur public OPIEVOY,Président (Vice-Président de 2011 à 2014),NÉANT,,0,,
Ronan Dantec,executive,Ecole nationale vétérinaire ONIRIS,Membre du conseil d'Administration,NÉANT,,0,,
Rudy Salles,executive,NÉANT,,,,,,
Sabine Buis,executive,NÉANT,,,,,,
Samia Ghali,executive,NÉANT,,,,,,
Sandrine Doucet,executive,NÉANT,,,,,,
Sandrine Mazetier,executive,NÉANT,,,,,,
Sauveur Gandolfi-Scheit,executive,NÉANT,,,,,,
Sébastien Denaja,executive,NÉANT,,,,,,
Sébastien Huyghe,executive,NÉANT,,,,,,
Sébastien Pietrasanta,executive,NÉANT,,,,,,
Serge Bardy,executive,NÉANT,,,,,,
Serge Dassault,executive,CHATEAU DASSAULT SAS,Directeur général,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,DASSAULT AVIATION,Président d'honneur et Membre du Conseil d'Administration,9148 EUR par an,Jetons de présence + rémunération de conseiller ; brut,9148,,
Serge Dassault,executive,DASSAULT BELGIQUE AVIATION,Président et Membre du Conseil d'Administration,17114 EUR par an,,17114,,
Serge Dassault,executive,DASSAULT DEVELOPPEMENT SAS,Membre du Comité Stratégique,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,DASSAULT FALCON JET CORPORATION (USA),Membre du Conseil d'Administration,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,DASSAULT INTERNATIONAL Inc.,Membre du Conseil d'Administration,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,DASSAULT MEDIAS SA,Président Directeur Général,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,DASSAULT SYSTEME,Membre du Conseil d'Administration,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,GIFAS,Président d'honneur,NÉANT,,0,,
Serge Dassault,executive,GROUPE FIGARO SAS,Président,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,GROUPE INDUSTRIEL MARCEL DASSAULT SAS,Président,2013 : 628820 EUR par an,Brut,628820,,
Serge Dassault,executive,MARCEL DASSAULT TRADING CORPORATION,Membre du Comité Stratégique,NÉANT,,0,,
Serge Dassault,executive,ROND_POINT INVESTISSEMENT SARL,Gérant,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,ROND-POINT HOLDING SAS,Président,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,ROND-POINT IMMOBILIER SAS,Président,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,SCI,Gérant,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,SERGE DASSAULT TRADING CORPORATION,Membre du Comité Stratégique,NÉANT,,0,,
Serge Dassault,executive,SITA,Membre du Conseil d'Administration,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,SOCIETE CIVILE IMMOBILIERE,Gérant,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,SOCIETE DU FIGARO SAS,Président,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Dassault,executive,TERRAMARIS,Membre du Conseil d'Administration,jetons de présence,non rémunéré sauf jetons de présence bénéficiant à tous les Membre du Conseil d'Administrations,0,,
Serge Grouard,executive,Centre hospitalier régional d'Orléans,Président du conseil de surveillance,NÉANT,,0,,
Serge Janquin,executive,SARL Les Vins Audacieux,,NÉANT,Implantation d'un vignoble expérimental sur un terril du bassin minier du Pas-de-Calais,0,,
Serge Larcher,executive,NÉANT,,,,,,
Serge Letchimy,executive,,,,,,,
Sergio Coronado,executive,NÉANT,,,,,,
Seybah Dagoma,executive,,,,,,,
Seybah Dagoma,executive,,,,,,,
Simon Sutour,executive,NÉANT,,,,,,
Sonia Lagarde,executive,NÉANT,,,,,,
Sophie Dessus,executive,NÉANT,,,,,,
Sophie Dion,executive,NÉANT,,,,,,
Sophie Errante,executive,,,,,,,
Sophie Errante,executive,,,,,,,
Sophie Errante,executive,,,,,,,
Sophie Errante,executive,,,,,,,
Sophie Joissains,executive,Membre de la CNCDH au titre de mon mandat,Membre,NÉANT,,0,,
Sophie Joissains,executive,Agence d'Urbanisme du Payx d'Aix,Membre du conseil d'administration,NÉANT,,0,,
Sophie Joissains,executive,Agence régionale des Arts du Spectable,Membre,NÉANT,,0,,
Sophie Joissains,executive,Association du Ballet Preljocaj,Membre,NÉANT,,0,,
Sophie Joissains,executive,Association entracte,Membre,NÉANT,,0,,
Sophie Joissains,executive,Centres Sociaux et Equipements de proximité,Membre du conseil d'administration,NÉANT,,0,,
Sophie Joissains,executive,Comité de Direction de l'Office municipal de Tourisme,Membre,NÉANT,,0,,
Sophie Joissains,executive,Conseil d'établissement du Conservatoire Darius Milhaud,Membre,NÉANT,,0,,
Sophie Joissains,executive,Ecole Supérieure d'Art d'Aix en Provence (EPCC),Président,NÉANT,,0,,
Sophie Joissains,executive,Fondation du Camp des Milles,Membre,NÉANT,,0,,
Sophie Joissains,executive,Fondation Saint John Perse,Membre,NÉANT,,0,,
Sophie Joissains,executive,Fondation Vasarely,Membre,NÉANT,,0,,
Sophie Joissains,executive,Mission locale,Membre du conseil d'administration,NÉANT,,0,,
